cfb,9932326,9255,20,57
cfc,9993705,8434,16,32
cfd,9930037,8293,50,107
cfe,9955160,9397,109,174
cff,9934644,8555,66,144
cfg,9925835,8489,181,254
cga,9957476,8085,169,251
cgb,9788752,9331,13,43
cgc,9935502,8185,9,28
cgd,9925987,8996,103,237
cge,9582043,7391,273,499
cgf,9741624,10458,14,27
cgg,9597938,10899,79,165
daa,9820320,8229,236,461
dab,9921554,9363,181,260
dac,9882326,9521,134,185
dad,9855091,7467,30,101
dae,9769586,7891,80,175
daf,9822151,9038,126,253
dag,9772975,8034,6,12
dba,9866009,7288,78,150
dbb,9872677,7597,116,287
dbc,9902965,9802,12,32
dbd,9847313,10467,161,295
dbe,9966541,8572,96,316
dbf,9918337,9647,214,316
dbg,9980986,8389,81,194
dca,9904864,10419,120,224
dcb,9671274,10108,80,176
dcc,9539757,7925,30,80
dcd,9447051,8733,109,209
dce,9712456,8740,129,224
dcf,9704746,10296,145,334
dcg,9991492,7782,294,429
dda,9975779,8392,142,273
ddb,9947692,8941,136,183
ddc,9986404,6833,92,304
ddd,9915375,10060,75,207
dde,9845684,9273,229,414
ddf,9895410,9547,36,114
ddg,9416938,8395,150,358
dea,9852516,11154,81,189
deb,9843834,9183,61,103
dec,9919619,7387,128,254
ded,9912565,9240,74,177
dee,9882254,8764,164,324
def,9892173,9465,63,113
deg,9952543,9210,271,532
dfa,9996000,10157,77,205
dfb,9765168,10395,191,333
dfc,9953419,8993,101,221
dfd,9939152,8414,40,61
dfe,9918454,8419,88,298
dff,9944466,9278,304,535
dfg,9970707,7925,65,104
dga,9418710,8467,97,196
dgb,9856434,8635,73,215
dgc,9891258,10208,45,76
dgd,9806964,8901,370,617
dge,9962029,9481,135,219
dgf,9922178,10665,6,17
dgg,9937389,9882,31,71
eaa,9981784,7708,330,440
eab,9748209,8867,19,54
eac,9889071,8978,108,200
ead,9964399,8920,166,252
eae,9762249,8590,94,278
eaf,9995995,8551,120,204
eag,9946859,10420,201,418
eba,9980452,8477,127,275
ebb,9962251,9670,35,99
ebc,9398625,9811,5,12
ebd,9993244,11048,96,259
ebe,9848361,7601,154,282
ebf,9927034,9663,5,13
ebg,9887546,9368,16,66
eca,9717011,9367,134,248
ecb,9608951,8983,70,122
ecc,9919508,9947,189,279
ecd,9996686,6785,41,122
ece,9932474,8698,9,32
ecf,9637746,10067,189,348
ecg,9673256,8566,109,154
eda,9753621,9086,98,172
edb,9256039,8722,59,175
edc,9986509,8000,278,460
edd,9733578,9711,308,578
ede,9868521,7891,10,26
edf,9834869,7945,105,208
edg,9906688,9089,149,291
eea,9818982,11982,5,8
eeb,9941037,9905,178,354
eec,9669176,8802,82,323
eed,9357497,8642,128,207
eee,9813762,8811,81,139
eef,9968490,9851,204,355
eeg,9911630,9837,163,341
efa,9813086,9605,243,473
efb,9871792,8203,11,28
efc,9973633,8576,11,21
efd,9988068,8554,317,484
efe,9955956,7977,57,117
eff,9980053,8263,83,201
efg,9789089,8732,156,241
ega,9880750,11761,11,29
egb,9749515,8661,27,54
egc,9707468,8265,207,381
egd,9984036,10790,22,77
ege,9656799,9717,49,80
egf,9903108,10314,101,226
egg,9820739,9175,282,480
faa,9889423,8535,271,408
fab,9924708,10303,85,215
fac,9633278,6876,225,328
fad,9443209,8688,81,154
fae,9355724,9736,140,226
faf,9306764,10292,39,106
fag,9759712,10168,18,59
fba,9998184,8449,72,115
fbb,9920119,8361,83,215
fbc,9905793,9463,265,571
fbd,9518696,8940,71,147
fbe,9630483,9706,161,324
fbf,9892876,8805,268,397
fbg,9944980,9565,113,225
fca,9988494,6729,430,615
fcb,9977517,9310,206,304
fcc,9884480,8993,32,82
fcd,9929552,10151,202,269
fce,9931531,9756,64,138
fcf,9382220,8932,55,134
fcg,9654432,9596,155,233
fda,9742698,9680,147,291
fdb,9950240,8691,161,263
fdc,9974737,8713,216,325
fdd,9745522,8889,14,29
fde,9796773,8435,122,359
fdf,9968466,9770,13,76
fdg,9961060,9626,149,279
fea,9835886,9189,74,169
feb,9922225,8775,67,232
fec,9794632,7625,302,534
fed,9926798,7776,28,89
fee,9868733,8343,5,7
fef,9860047,8599,91,166
feg,9855487,8346,174,269
ffa,9778667,9405,104,150
ffb,9929385,8758,5,5
ffc,9879320,9067,99,166
ffd,9709069,10592,42,155
ffe,9967588,9133,129,218
fff,9216002,8752,257,429
ffg,9907745,9163,235,574
fga,9750866,10249,174,327
fgb,9984285,8863,45,92
fgc,9872911,8192,140,311
fgd,9916895,8232,20,33
fge,9988805,8118,129,266
fgf,9757652,7642,34,91
fgg,9960811,9680,30,56
gaa,9742003,8511,144,233
gab,9952662,8779,86,208
gac,9659112,8610,45,65
gad,9885857,8764,12,32
gae,9652582,9594,220,416
gaf,9822139,8816,51,122
gag,9958434,9006,61,167
gba,9974870,7430,139,241
gbb,9989771,8835,180,338
gbc,9946939,7409,150,274
gbd,9986097,10150,360,750
gbe,9987039,11211,15,49
gbf,9885668,8542,151,249
gbg,9799118,10500,166,325
gca,9980271,9857,165,214
gcb,9869351,8836,213,319
gcc,9869311,10666,7,20
gcd,9959259,9073,140,281
gce,9966693,9350,255,548
gcf,9450213,10198,19,55
gcg,9828043,8863,49,217
gda,9981692,8975,39,68
gdb,9709138,9553,175,258
gdc,9671132,9621,192,308
gdd,9976483,8184,183,283
gde,9660040,9889,211,315
gdf,9982280,9882,6,22
gdg,9644217,10165,5,16
gea,9906226,9448,22,44
geb,9932037,8383,41,170
gec,9739265,9858,74,198
ged,9710461,8519,119,177
gee,9847334,9506,121,273
gef,9837478,8307,167,256
geg,9666534,8754,90,145
gfa,9684761,8512,140,222
gfb,9853956,8692,243,522
gfc,9802347,8431,216,283
gfd,9919289,9886,51,202
gfe,9974017,9402,209,415
gff,9895775,10008,27,76
gfg,9814506,9485,242,673
gga,9998093,10292,71,157
ggb,9969531,8867,115,215
ggc,9976711,7636,113,231
ggd,9835367,8900,64,134
gge,9580593,9280,172,296
ggf,9827580,7574,115,178
ggg,9868659,9911,27,56
